date	obs_pre	obs_post
197601	73706	68447
197602	73439	67622
197603	73221	67854
197604	73842	67766
197605	74804	68188
197606	74658	68044
197607	73773	67482
197608	73501	67017
197609	74515	69085
197610	75227	69884
197611	74865	70143
197612	74587	69173
197701	74500	69567
197702	74638	69098
197703	74253	68788
197704	74382	68839
197705	75154	68506
197706	74919	68926
197707	74749	68904
197708	74008	67721
197709	74788	69542
197710	75318	70449
197711	75315	70024
197801	96444	79681
197802	86363	78684
197803	85325	78632
197804	95074	85843
197805	95467	84813
197806	95546	85855
197807	95774	86367
197808	95916	85497
197809	96493	87143
197810	97083	87338
197811	97175	88970
197812	96449	87362
197901	96447	87598
197902	95783	86386
197903	95481	86128
197904	95834	86413
197905	96122	85668
197906	96151	86851
197907	96232	86269
197908	96215	86511
197909	96693	87537
197910	96210	86848
197911	96259	88325
197912	96361	80693
198001	101820	94433
198002	101568	93740
198003	99927	92784
198004	101458	93578
198005	102257	93393
198006	101587	93710
198007	100813	91701
198008	100325	91971
198009	101679	93585
198010	101830	94675
198011	102024	94400
198012	101065	93346
198101	102211	95042
198102	101208	93638
198103	99699	92007
198104	100604	84866
198105	92618	84966
198106	92777	85183
198107	91970	84994
198108	91300	84389
198109	92408	85419
198110	92709	86398
198111	92467	86475
198112	91390	85249
198201	127672	117596
198202	126611	115770
198203	125334	114408
198204	126085	115831
198205	128042	116580
198206	128603	116372
198207	127210	115515
198208	125975	113696
198209	127448	116341
198210	127419	117166
198211	127192	117722
198212	125605	115344
198301	126690	116644
198302	126118	115200
198303	125731	113889
198304	125812	114980
198305	127618	114951
198306	126838	115234
198307	125366	114164
198308	124858	112300
198309	126536	114708
198310	126091	115422
198311	126505	115917
198312	125413	114379
198401	126715	115640
198402	125618	113978
198403	125445	113692
198404	124648	113080
198405	125458	112385
198406	124668	112005
198407	123590	110939
198408	123914	111161
198409	124360	112298
198410	124535	112273
198411	124242	113914
198412	125424	114165
198501	126109	114407
198502	126013	113776
198503	125262	112951
198504	125465	112744
198505	124324	111310
198507	124141	111407
198508	124991	112313
198510	124588	113130
198511	125053	114939
198512	125308	112592
198601	123909	112992
198602	123989	111825
198603	123164	111336
198604	124317	112866
198605	124337	111718
198606	124292	109239
198607	121391	108882
198608	122270	110592
198609	122206	110460
198610	122667	111805
198611	122642	112314
198612	122540	111458
198701	122044	111476
198702	121640	109677
198703	122246	109870
198704	123681	112735
198705	123512	111431
198706	122381	109637
198707	121847	109866
198708	122965	111611
198709	123343	111302
198710	124093	111716
198711	122909	112160
198712	122834	111627
198801	122805	111831
198802	122418	109855
198803	122634	102695
198804	115329	103982
198805	115238	102287
198806	114216	102596
198807	114332	102765
198808	115219	103116
198809	116107	105106
198810	115677	105144
198811	115968	106325
198812	116356	103905
198901	115663	104887
198902	114790	103249
198903	113712	103017
198904	116856	105962
198905	118370	105799
198906	118873	106725
198907	117947	106494
198908	119510	106233
198909	121100	108790
198910	122513	109648
198911	122691	111440
198912	123351	111357
199001	123071	111348
199002	122672	110081
199003	122354	110320
199004	123872	112042
199005	124219	110428
199006	123580	111222
199007	122972	110216
199008	123114	111159
199009	123525	111794
199010	123317	111303
199011	122958	112940
199012	123097	111614
199101	122484	110861
199102	122554	110192
199103	122290	110492
199104	122512	110618
199105	122193	109557
199106	121369	109428
199107	121730	109367
199108	122132	110805
199109	122521	111239
199110	121316	110469
199111	121155	111772
199112	120710	109753
199201	120741	110370
199202	120422	108504
199203	120147	107271
199204	120076	108934
199205	120382	108700
199206	119395	107422
199207	119936	108256
199208	120434	107832
199209	120538	107938
199210	119122	108226
199211	119502	109291
199212	119596	108999
199301	119481	109015
199302	119359	108547
199303	119239	107105
199304	119949	108093
199305	119255	107308
199306	118083	106203
199307	117733	106232
199308	118006	106293
199309	118419	107160
199310	117479	106590
199311	117422	106811
199401	117706	110161
199402	117206	108971
199403	116945	109399
199404	116830	110184
199405	116308	108499
199406	114428	107289
199407	113957	106729
199408	113848	106094
199409	113535	106723
199410	115044	108497
199411	115057	108770
199412	115111	108803
