year	obs_pre	obs_post
1979	164626	121381
1980	193554	135568
1981	181500	132554
1982	174913	131215
1983	174479	128795
1984	170223	62383
1985	171215	31069
1986	169200	122115
1987	169079	117605
1988	161061	114647
1989	164056	120640
1990	170206	125088
1991	167000	123641
1992	164942	122148
1993	163478	117978
1994	158198	45475
1995	158308	35542
1996	139474	107334
1997	140702	107058
1998	141003	108059
1999	142070	109223
2000	139302	107011
2001	150546	111198
2002	165552	120494
2003	163589	120039
2004	158952	108639
2005	160587	118468
2006	159671	117315
2007	159217	119703
2008	157851	119751
2009	161189	122126
2010	159907	120800
